"","word","n"
"1","marketing",5
"2","engineering",4
"3","business",3
"4","economics",3
"5","finance",3
"6","accounting",2
"7","china",2
"8","economies",2
"9","graduated",2
"10","india",2
"11","management",2
"12","mumbai",2
"13","started",2
"14","add",1
"15","affairs",1
"16","amazing",1
"17","applied",1
"18","bachelors",1
"19","bangkok",1
"20","belgium",1
"21","bias",1
"22","biology",1
"23","bit",1
"24","boston",1
"25","bouncer",1
"26","bucking",1
"27","cape",1
"28","chemical",1
"29","civil",1
"30","communication",1
"31","concentrated",1
"32","conomiques",1
"33","constant",1
"34","cool",1
"35","cooler",1
"36","cooper",1
"37","dc",1
"38","economy",1
"39","el",1
"40","electromechanical",1
"41","engineer",1
"42","entrepreneurship",1
"43","environmental",1
"44","experience",1
"45","fashion",1
"46","father",1
"47","federal",1
"48","focus",1
"49","geology",1
"50","graduating",1
"51","guangdong",1
"52","hague",1
"53","hand",1
"54","heard",1
"55","industrial",1
"56","jurisprudence",1
"57","law",1
"58","lot",1
"59","majoring",1
"60","majors",1
"61","manchester",1
"62","mass",1
"63","math",1
"64","mechanical",1
"65","moody",1
"66","moscow",1
"67","ohio",1
"68","parents",1
"69","pays",1
"70","pharmacy",1
"71","poland",1
"72","political",1
"73","project",1
"74","punch",1
"75","robotics",1
"76","salvador",1
"77","school",1
"78","science",1
"79","sciences",1
"80","specialization",1
"81","specifically",1
"82","student",1
"83","teacher",1
"84","technical",1
"85","thailand",1
"86","town",1
"87","uk",1
"88","universal",1
"89","washington",1
"90","world",1
